name,static_instructions_case_big-arr_O0,dynamic_instructions_case_big-arr_O0
extr_linuxnetbridgenetfilter..br_private.h_br_should_learn.c,8,8
extr_linuxnetbridgenetfilter..br_private.h_nbp_vlan_add.c,12,12
extr_linuxnetbridgenetfilter..br_private.h_br_switchdev_set_port_flag.c,8,8
extr_linuxnetbridgenetfilter..br_private.h_br_switchdev_port_vlan_add.c,9,9
extr_linuxnetbridgenetfilter..br_private.h_br_sysfs_addif.c,6,6
extr_linuxnetbridgenetfilter..br_private.h_br_vlan_delete.c,8,8
extr_linuxnetbridgenetfilter..br_private.h_br_sysfs_renameif.c,6,6
extr_linuxnetbridgenetfilter..br_private.h_nbp_vlan_flush.c,5,5
extr_linuxnetcaifcaif_socket.c_sk_rcvbuf_lowwater.c,10,10
extr_linuxnetbridgenetfilter..br_private.h_br_vlan_init.c,6,6
extr_linuxnetcaifcfpkt_skbuff.c_cfpkt_tonative.c,6,6
extr_linuxnetcaifcfpkt_skbuff.c_skb_to_pkt.c,6,6
extr_linuxnetcepharmor.c_decode_bits.c,28,28
extr_linuxnetcangw.c_calc_idx.c,11,11
extr_linuxnetcanaf_can.c_effhash.c,25,25
extr_linuxnetbridgenetfilter..br_private.h_nbp_switchdev_mark_set.c,6,6
extr_linuxnetcephauth_none.c_handle_reply.c,14,14
extr_linuxnetcephceph_common.c_libceph_compatible.c,6,6
extr_linuxnetcephceph_fs.c_ceph_flags_to_mode.c,18,18
extr_linuxnetcephauth_none.c_reset.c,10,10
extr_linuxnetbridgenetfilter..br_private.h_nbp_vlan_delete.c,8,8
extr_linuxnetcephceph_common.c_ceph_client_addr.c,6,6
extr_linuxnetcaifcfcnfg.c_cfcnfg_linkdestroy_rsp.c,6,6
extr_linuxnetcephceph_strings.c_ceph_entity_type_name.c,14,14
extr_linuxnetbridgenetfilter..br_private.h_nbp_vlan_init.c,6,6
extr_linuxnetcaifcfpkt_skbuff.c_pkt_to_skb.c,6,6
extr_linuxnetcaifcfsrvl.c_cfsrvl_ready.c,11,11
extr_linuxnetcephauth_none.c_build_request.c,8,8
extr_linuxnetcephceph_strings.c_ceph_osd_watch_op_name.c,14,14
extr_linuxnetcanbcm.c_bcm_is_invalid_tv.c,11,11
extr_linuxnetcangw.c_cgw_chk_csum_parms.c,15,15
extr_linuxnetcephauth_none.c_is_authenticated.c,14,14
extr_linuxnetcephceph_hash.c_ceph_str_hash_name.c,16,16
extr_linuxnetcephcrushhash.c_crush_hash_name.c,11,11
extr_linuxnetcephauth_none.c_should_authenticate.c,10,10
extr_linuxnetcephcrushmapper.c_terminal.c,7,7
extr_linuxnetcephceph_strings.c_ceph_osd_state_name.c,14,14
extr_linuxnetcephceph_fs.c_ceph_caps_for_mode.c,20,20
extr_linuxnetcephmon_client.c_con_get.c,6,6
extr_linuxnetcephmessenger.c_con_flag_valid.c,11,11
extr_linuxnetcephceph_common.c_ceph_msg_type_name.c,14,14
extr_linuxnetcephosd_client.c_normalize_watch_error.c,11,11
extr_linuxnetcoredev.c_get_xps_queue.c,8,8
extr_linuxnetcoredatagram.c_connection_based.c,19,19
extr_linuxnetcoredev.c_netdev_set_default_ethtool_ops.c,10,10
extr_linuxnetcoredev.c_netdev_increment_features.c,32,32
extr_linuxnetcoredev.c_net_mpls_features.c,8,8
extr_linuxnetcoredev.c_rps_ipi_queued.c,6,6
extr_linuxnetcoredev.c_dev_pick_tx_zero.c,9,9
extr_linuxnetcoredev.c_netdev_set_xmit_lockdep_class.c,7,7
extr_linuxnetcoredev.c_nf_ingress.c,9,9
extr_linuxnetcephcrushmapper.c_height.c,11,11
extr_linuxnetcephcrushcrush.c_crush_bucket_alg_name.c,14,14
extr_linuxnetcephmon_client.c_con_put.c,5,5
extr_linuxnetcephmessenger.c_ceph_con_opened.c,10,10
extr_linuxnetcephmessenger.c_sizeof_footer.c,11,11
extr_linuxnetcephosdmap.c_calc_bits_of.c,16,81
extr_linuxnetcoredev.c_rps_unlock.c,5,5
extr_linuxnetcoredev.c_illegal_highdma.c,7,7
extr_linuxnetcoredev.c_dev_base_seq_inc.c,11,11
extr_linuxnetcoredev.c_netdev_set_addr_lockdep_class.c,5,5
extr_linuxnetcoredev.c_dev_set_group.c,9,9
extr_linuxnetcoredev.c_rps_lock.c,5,5
extr_linuxnetcoredev.c_passthru_features_check.c,8,8
extr_linuxnetcoredev.c_net_rps_send_ipi.c,5,5
extr_linuxnetcoredev.c_netdev_txq_to_tc.c,19,19
extr_linuxnetcoredev.c_sd_has_rps_ipi_waiting.c,6,6
extr_linuxnetcoredev.c_skb_needs_check.c,25,25
extr_linuxnetcoreethtool.c_ethtool_op_get_ts_info.c,14,14
extr_linuxnetcoredrop_monitor.c_net_dm_cmd_config.c,8,8
extr_linuxnetcorefilter.c_bpf_tunnel_key_af.c,13,13
extr_linuxnetcoredev.c_sch_handle_ingress.c,9,9
extr_linuxnetcoreflow_dissector.c_dissector_set_key.c,13,13
extr_linuxnetcoreneighbour.c_neigh_ifindex_filtered.c,15,15
extr_linuxnetcoresock.c_release_proto_idx.c,5,5
extr_linuxnetcorepktgen.c_pktgen_clear_counters.c,15,15
extr_linuxnetcoresock.c_sock_def_destruct.c,5,5
extr_linuxnetcoresock.c_sock_no_connect.c,10,10
extr_linuxnetcorenet-sysfs.c_netdev_queue_update_kobjects.c,8,8
extr_linuxnetcoresock.c_sock_no_accept.c,10,10
extr_linuxnetcoredev.c_skb_flow_limit.c,7,7
extr_linuxnetcoredevlink.c_devlink_sb_pool_count.c,9,9
extr_linuxnetcoredev_ioctl.c_register_gifconf.c,14,14
extr_linuxnetcorefilter.c_do_msg_redirect_map.c,7,7
extr_linuxnetcoreethtool.c___ethtool_get_flags.c,32,32
extr_linuxnetcorefilter.c___is_valid_xdp_access.c,14,14
extr_linuxnetcoreflow_dissector.c_skb_flow_dissect_allowed.c,15,15
extr_linuxnetcoresock.c_sock_no_ioctl.c,9,9
extr_linuxnetcoresock.c_sk_set_peek_off.c,10,10
extr_linuxnetcorertnetlink.c_rtnl_get_offload_stats_attr_size.c,10,10
extr_linuxnetcoresock.c_assign_proto_idx.c,5,5
extr_linuxnetcoresock.c_sock_inuse_add.c,6,6
extr_linuxnetcoresock.c_sock_no_getname.c,9,9
extr_linuxnetcorenet-sysfs.c_net_rx_queue_update_kobjects.c,8,8
extr_linuxnetcorenetprio_cgroup.c_read_prioidx.c,9,9
extr_linuxnetcoresock.c_sock_no_bind.c,9,9
extr_linuxnetcoresock.c_sock_no_mmap.c,9,9
extr_linuxnetcorexdp.c_xdp_rxq_info_is_reg.c,11,11
extr_linuxnetcoresock.c_sock_no_sendmsg.c,9,9
extr_linuxnetdccpccids..dccp.h_before48.c,16,16
extr_linuxnetdccpccid.h_ccid_packet_dequeue_eval.c,15,15
extr_linuxnetdccpccids..dccp.h_dccp_set_seqno.c,10,10
extr_linuxnetdccpccidsccid2.c_ccid2_update_used_window.c,15,15
extr_linuxnetdccpccidsccid2.h_rfc3390_bytes_to_packets.c,11,11
extr_linuxnetcoresock.c_sock_no_listen.c,8,8
extr_linuxnetcoresock.c_sock_no_shutdown.c,8,8
extr_linuxnetdccpccidslibtfrc.h_tfrc_ewma.c,21,21
extr_linuxnetdccpdccp.h_before48.c,16,16
extr_linuxnetdccpccidslib....dccp.h_between48.c,21,21
extr_linuxnetdccpdccp.h_dccp_set_seqno.c,10,10
extr_linuxnetdccpccidslibloss_interval.h_tfrc_lh_is_initialised.c,10,10
extr_linuxnetdccpfeat.c_dccp_feat_is_valid_nn_val.c,16,16
extr_linuxnetcoresock.c_sock_no_sendmsg_locked.c,9,9
extr_linuxnetcorexdp.c_xdp_rxq_info_unused.c,8,8
extr_linuxnetcoresock.c_sock_no_recvmsg.c,10,10
extr_linuxnetdccpccids..ccid.h_ccid_packet_dequeue_eval.c,15,15
extr_linuxnetdccpccids..feat.h_dccp_feat_genopt.c,18,18
extr_linuxnetdccpccidsccid2.h_ccid2_cwnd_network_limited.c,12,12
extr_linuxnetdccpccids..dccp.h_between48.c,21,21
extr_linuxnetdccpccidslib....dccp.h_before48.c,16,16
extr_linuxnetdccpfeat.c_dccp_feat_must_be_understood.c,22,22
extr_linuxnetcoresock.c_sock_no_socketpair.c,8,8
extr_linuxnetdccpccidslib....dccp.h_dccp_set_seqno.c,10,10
extr_linuxnetdccpdccp.h_between48.c,21,21
extr_linuxnetdccpccidslibtfrc_equation.c_tfrc_binsearch.c,14,14
extr_linuxnetdccpfeat.c_dccp_feat_index.c,16,16
extr_linuxnetdccpfeat.c_dccp_feat_is_valid_sp_val.c,26,26
extr_linuxnetdccpfeat.h_dccp_feat_genopt.c,18,18
extr_linuxnetdccpoptions.c_dccp_elapsed_time_len.c,14,14
extr_linuxnetdccpproto.c_dccp_need_reset.c,22,22
extr_linuxnetdecnetdn_dev.c_dn_dev_sysctl_unregister.c,5,5
extr_linuxnetdecnetaf_decnet.c_dn_enter_memory_pressure.c,8,8
extr_linuxnetdccpfeat.c_dccp_feat_preflist_match.c,29,29
extr_linuxnetdecnetdn_dev.c_dn_dev_init_pkt.c,5,5
extr_linuxnetdecnetdn_dev.c_mtu2blksize.c,27,27
extr_linuxnetdccpfeat.c_dccp_feat_prefer.c,28,3333
extr_linuxnetdecnetdn_route.c_dn_dst_link_failure.c,5,5
extr_linuxnetdecnetdn_nsp_in.c_dn_check_idf.c,36,36
extr_linuxnetdsadsa.c_dsa_slave_notag_xmit.c,7,7
extr_linuxnetdecnetdn_rules.c_dn_fib_rule_match.c,33,33
extr_linuxnetdsadsa2.c_dsa_port_is_dsa.c,11,11
extr_linuxnetdecnetdn_dev.c_dn_dev_hello.c,5,5
extr_linuxnetdecnetdn_dev.c_dn_dev_veri_pkt.c,5,5
extr_linuxnetdccpoptions.c_dccp_encode_value_var.c,71,71
extr_linuxnetdsadsa2.c_dsa_port_parse_dsa.c,9,9
extr_linuxnetdccpproto.c_dccp_packet_name.c,12,12
extr_linuxnetdccpinput.c_dccp_reset_code_convert.c,12,12
extr_linuxnetdccpfeat.c_dccp_feat_valid_nn_length.c,13,13
extr_linuxnetdecnetdn_dev.c_dn_dev_sysctl_register.c,6,6
extr_linuxnetdecnetdn_neigh.c_dn_find_slot.c,45,5122
extr_linuxnetdecnetdn_route.c_dn_dst_redirect.c,7,7
extr_linuxnetdns_resolverdns_key.c_dns_resolver_match_preparse.c,12,12
extr_linuxnetdecnetdn_route.c_compare_keys.c,39,39
extr_linuxnetdsalegacy.c_dsa_of_remove.c,5,5
extr_linuxnetdsadsa2.c_dsa_port_is_cpu.c,11,11
extr_linuxnetdsadsa2.c_dsa_port_is_user.c,11,11
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_dff.c,10,10
extr_linuxnetieee8021546lowpanreassembly.c_lowpan_frags_ns_sysctl_unregister.c,5,5
extr_linuxnethsrhsr_device.c_hsr_dev_close.c,6,6
extr_linuxnetdsaslave.c_dsa_slave_dev_check.c,11,11
extr_linuxnetdsalegacy.c_dsa_of_probe.c,6,6
extr_linuxnethsrhsr_framereg.c_seq_nr_after.c,19,19
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_frag1.c,11,11
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_hc1.c,10,10
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_nalp.c,11,11
extr_linuxnetieee802154header_ops.c_ieee802154_hdr_addr_len.c,29,29
extr_linuxnetdsalegacy.c_dsa_shutdown.c,5,5
extr_linuxnetieee802154socket.c_raw_connect.c,9,9
extr_linuxnetipv4ah4.c_ah4_rcv_cb.c,7,7
extr_linuxnetipv4devinet.c_devinet_sysctl_unregister.c,5,5
extr_linuxnetipv4arp.c_arp_state_to_flags.c,17,17
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_esc.c,10,10
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_bc0.c,10,10
extr_linuxnetipv4esp4.c_esp4_rcv_cb.c,7,7
extr_linuxnethsrhsr_device.c_is_admin_up.c,18,18
extr_linuxnetdsaswitch.c_dsa_switch_fastest_ageing_time.c,12,12
extr_linuxnetieee8021546lowpanreassembly.c_lowpan_frags_ns_sysctl_register.c,6,6
extr_linuxnetipv4fib_lookup.h_fib_alias_accessed.c,14,14
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_fragn.c,11,11
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_mesh.c,11,11
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_reserved.c,35,35
extr_linuxnetieee802154socket.c_ieee802154_match_sock.c,21,21
extr_linuxnetieee802154socket.c_raw_disconnect.c,7,7
extr_linuxnetipv4fib_trie.c_prefix_mismatch.c,16,16
extr_linuxnetipv4devinet.c_inetdev_valid_mtu.c,10,10
extr_linuxnetipv4devinet.c_devinet_sysctl_register.c,6,6
extr_linuxnetipv4ah4.c_ah_tmp_auth.c,9,9
extr_linuxnetipv4fou.c_fou_from_sock.c,7,7
extr_linuxnetipv4icmp.c_icmp_discard.c,6,6
extr_linuxnetipv4fib_frontend.c_sk_extract_addr.c,7,7
extr_linuxnetipv4igmp.c_ip_mc_rejoin_groups.c,5,5
extr_linuxnetipv4ip_fragment.c_ip4_frag_ecn.c,9,9
extr_linuxnetipv4inet_diag.c_inet_diag_type2proto.c,16,16
extr_linuxnetipv4fib_semantics.c_fib_devindex_hashfn.c,21,21
extr_linuxnetipv4ip_fragment.c_ip4_frags_ns_ctl_unregister.c,5,5
extr_linuxnetipv4ip_vti.c_vti_tunnel_validate.c,8,8
extr_linuxnetipv4ip_sockglue.c_ipv4_datagram_support_addr.c,24,24
extr_linuxnetipv4ipmr.c_ipmr_forward_offloaded.c,9,9
extr_linuxnetipv4ipmr.c_ipmr_new_table_set.c,6,6
extr_linuxnetipv4route.c_ipv4_rt_blackhole_update_pmtu.c,8,8
extr_linuxnetipv4netfilterip_tables.c_icmp_type_code_match.c,18,18
extr_linuxnetipv4route.c_fill_route_from_fnhe.c,31,31
extr_linuxnetipv4fou.c_fou_encap_hlen.c,6,6
extr_linuxnetipv4inet_connection_sock.c_ipv4_rcv_saddr_equal.c,12,12
extr_linuxnetipv4tcp.c_secs_to_retrans.c,24,24
extr_linuxnetipv4icmp.c_icmpv4_mask_allow.c,13,13
extr_linuxnetipv4fou.c_gue_encap_hlen.c,21,21
extr_linuxnetipv4inetpeer.c_inet_peer_xrlim_allow.c,38,38
extr_linuxnetipv4ip_fragment.c_ip4_frags_ns_ctl_register.c,6,6
extr_linuxnetipv4ip_sockglue.c_getsockopt_needs_rtnl.c,11,11
extr_linuxnetipv4ip_sockglue.c_setsockopt_needs_rtnl.c,11,11
extr_linuxnetipv4ipcomp.c_ipcomp4_rcv_cb.c,7,7
extr_linuxnetipv4tcp.c_retrans_to_secs.c,31,4337
extr_linuxnetipv4ipmr.c_ipmr_rtm_validate_proto.c,12,12
extr_linuxnetipv4route.c_ipv4_rt_blackhole_redirect.c,7,7
extr_linuxnetipv4tcp_bbr.c_bbr_sndbuf_expand.c,6,6
extr_linuxnetipv4ping.c_ping_supported.c,20,20
extr_linuxnetipv4tcp_illinois.c_beta.c,27,27
extr_linuxnetipv4tcp_diag.c_tcp_diag_get_aux_size.c,8,8
extr_linuxnetipv4tcp_cubic.c_bictcp_reset.c,27,27
extr_linuxnetipv4tcp_input.c_tcp_ecn_withdraw_cwr.c,10,10
extr_linuxnetipv4tcp.c_tcp_mark_urg.c,10,10
extr_linuxnetipv4tcp_input.c_tcp_dsack_seen.c,15,15
extr_linuxnetipv4tcp_bbr.c_bbr_min_tso_segs.c,13,13
extr_linuxnetipv4tcp_ipv4.c_tcp_v4_cookie_check.c,7,7
extr_linuxnetipv4tcp_input.c_tcp_rcv_rtt_update.c,28,28
extr_linuxnetipv4tcp_metrics.c_tcp_metric_set.c,12,12
extr_linuxnetipv4xfrm4_policy.c_xfrm4_init_path.c,8,8
extr_linuxnetipv4tcp_metrics.c_tcp_metric_get.c,10,10
extr_linuxnetipv4tcp_westwood.c_westwood_do_filter.c,9,9
extr_linuxnetipv4xfrm4_policy.c_xfrm4_net_sysctl_init.c,6,6
extr_linuxnetipv4xfrm4_tunnel.c_ipip_destroy.c,5,5
extr_linuxnetipv4tcp_bic.c_bictcp_reset.c,21,21
extr_linuxnetipv4tcp_input.c_tcp_clear_retrans.c,15,15
extr_linuxnetipv4tcp_diag.c_tcp_diag_get_aux.c,8,8
extr_linuxnetipv4tcp_htcp.c_htcp_reset.c,20,20
extr_linuxnetipv4tcp_input.c_tcp_init_undo.c,21,21
extr_linuxnetipv4xfrm4_tunnel.c_xfrm_tunnel_err.c,8,8
extr_linuxnetipv4tcp_input.c_tcp_ecn_queue_cwr.c,10,10
extr_linuxnetipv6addrconf.c_addrconf_sysctl_unregister.c,5,5
extr_linuxnetipv4tcp_metrics.c_tcp_get_encode.c,12,12
extr_linuxnetipv4tcp_input.c_tcp_reset_reno_sack.c,7,7
extr_linuxnetipv4tcp_metrics.c_tcp_metric_locked.c,13,13
extr_linuxnetipv4xfrm4_policy.c_xfrm4_net_sysctl_exit.c,5,5
extr_linuxnetipv4tcp_minisocks.c_tcp_twsk_destructor.c,5,5
extr_linuxnetipv4udp.c___udp_sysctl_init.c,11,11
extr_linuxnetipv4xfrm4_protocol.c_netproto.c,21,21
extr_linuxnetipv6addrconf.c_ipv6_allow_optimistic_dad.c,7,7
extr_linuxnetipv4xfrm4_tunnel.c_ipip_init_state.c,14,14
extr_linuxnetipv6addrconf.c_ipv6_use_optimistic_addr.c,7,7
extr_linuxnetipv6addrconf.c_rt_scope.c,20,20
extr_linuxnetipv6addrconf_core.c_eafnosupport_ipv6_dst_lookup.c,10,10
extr_linuxnetipv6addrconf.c_addrconf_sysctl_register.c,6,6
extr_linuxnetipv6ah6.c_ah_tmp_auth.c,10,10
extr_linuxnetipv6ah6.c_ipv6_rearrange_destopt.c,6,6
extr_linuxnetipv6esp6.c_esp6_rcv_cb.c,7,7
extr_linuxnetipv6addrconf.c_check_addr_gen_mode.c,22,22
extr_linuxnetipv6ilaila.h_ila_a2i.c,6,6
extr_linuxnetipv6icmp.c_icmpv6_mask_allow.c,14,14
extr_linuxnetipv6ilaila_xlat.c_ila_cmp_wildcards.c,20,20
extr_linuxnetipv6ip6_flowlabel.c_ip6_flowlabel_proc_init.c,6,6
extr_linuxnetipv6addrconf.c_ipv6_saddr_preferred.c,14,14
extr_linuxnetipv6addrconf.c_is_addr_mode_generate_stable.c,19,19
extr_linuxnetipv6addrconf_core.c_eafnosupport_ip6_mtu_from_fib6.c,8,8
extr_linuxnetipv6ah6.c_ah6_rcv_cb.c,7,7
extr_linuxnetipv6ah6.c_ah_tmp_ext.c,8,8
extr_linuxnetipv6datagram.c_ipv6_datagram_support_addr.c,30,30
extr_linuxnetipv6ipcomp6.c_ipcomp6_rcv_cb.c,7,7
extr_linuxnetipv6exthdrs_core.c_ipv6_ext_hdr.c,37,37
extr_linuxnetipv6ilaila_xlat.c_ila_order.c,13,13
extr_linuxnetipv6ip6_flowlabel.c_ip6_flowlabel_proc_fini.c,5,5
extr_linuxnetipv6ilaila.h_ila_addr_is_ila.c,11,11
extr_linuxnetipv6mcast.c_igmp6_proc_exit.c,5,5
extr_linuxnetipv6ilaila_xlat.c_ila_cmp_params.c,13,13
extr_linuxnetipv6ip6_output.c_ip6_append_data_mtu.c,30,30
extr_linuxnetipv6icmp.c_mip6_addr_swap.c,5,5
extr_linuxnetipv6mcast.c_is_in.c,17,17
extr_linuxnetipv6ip6mr.c_ip6mr_new_table_set.c,6,6
extr_linuxnetipv6mip6.c_calc_padlen.c,10,10
extr_linuxnetipv6mip6.c_mip6_mh_len.c,40,40
extr_linuxnetipv6netfilternf_conntrack_reasm.c_nf_ct_frag6_sysctl_register.c,6,6
extr_linuxnetipv6netfilterip6_tables.c_icmp6_type_code_match.c,28,28
extr_linuxnetipv6ping.c_dummy_ip6_datagram_recv_ctl.c,7,7
extr_linuxnetipv6ipv6_sockglue.c_setsockopt_needs_rtnl.c,11,11
extr_linuxnetipv6ping.c_dummy_ipv6_recv_error.c,10,10
extr_linuxnetipv6reassembly.c_ip6_frags_ns_sysctl_unregister.c,5,5
extr_linuxnetipv6route.c_rt6_probe.c,5,5
extr_linuxnetipv6seg6.c_seg6_genl_dumphmac_done.c,6,6
extr_linuxnetipv6route.c_ip6_rt_blackhole_redirect.c,7,7
extr_linuxnetipv6mcast.c_igmp6_proc_init.c,6,6
extr_linuxnetipv6seg6.c_seg6_genl_sethmac.c,8,8
extr_linuxnetipv6seg6_local.c_cmp_nla_table.c,13,13
extr_linuxnetipv6seg6_local.c_cmp_nla_iif.c,13,13
extr_linuxnetipv6mip6.c_mip6_rthdr_destroy.c,5,5
extr_linuxnetipv6mip6.c_mip6_destopt_destroy.c,5,5
extr_linuxnetipv6mcast.c_mld_set_v1_mode.c,16,16
extr_linuxnetipv6ping.c_dummy_ipv6_icmp_error.c,10,10
extr_linuxnetipv6ping.c_dummy_icmpv6_err_convert.c,9,9
extr_linuxnetipv6netfilterip6t_mh.c_type_match.c,21,21
extr_linuxnetipv6udp.c_udp6_lib_exact_dif_match.c,7,7
extr_linuxnetipv6route.c_fib6_info_dst_flags.c,28,28
extr_linuxnetipv6reassembly.c_ip6_frags_ns_sysctl_register.c,6,6
extr_linuxnetipv6seg6.c_seg6_genl_dumphmac.c,8,8
extr_linuxnetipv6xfrm6_tunnel.c_xfrm6_tunnel_err.c,18,18
extr_linuxnetipv6seg6.c_seg6_genl_dumphmac_start.c,6,6
extr_linuxnetipv6route.c_ip6_rt_blackhole_update_pmtu.c,8,8
extr_linuxnetipv6tcp_ipv6.c_tcp_v6_cookie_check.c,7,7
extr_linuxnetipv6seg6.c_seg6_validate_srh.c,13,13
extr_linuxnetipv6seg6_local.c_cmp_nla_oif.c,13,13
extr_linuxnetiucviucv.c___iucv_cleanup_queue.c,5,5
extr_linuxnetiucvaf_iucv.c_afiucv_pm_complete.c,5,5
extr_linuxnetiucvaf_iucv.c_iucv_msg_length.c,14,14
extr_linuxnetkeyaf_key.c_pfkey_exit_proc.c,5,5
extr_linuxnetkeyaf_key.c_pfkey_mode_from_xfrm.c,20,20
extr_linuxnetkeyaf_key.c_pfkey_proto2satype.c,19,19
extr_linuxnetipv6xfrm6_protocol.c_netproto.c,21,21
extr_linuxnetkeyaf_key.c_pfkey_proto_to_xfrm.c,11,11
extr_linuxnetkeyaf_key.c_pfkey_sk.c,6,6
extr_linuxnetl2tpl2tp_core.c_l2tp_tunnel.c,7,7
extr_linuxnetlapblapb_subr.c_lapb_validate_nr.c,33,33
extr_linuxnetiucviucv.c_iucv_bus_match.c,7,7
extr_linuxnetllcaf_llc.c_llc_ui_ioctl.c,9,9
extr_linuxnetl2tpl2tp_core.h_l2tp_session_priv.c,7,7
extr_linuxnetipv6xfrm6_tunnel.c_xfrm6_tunnel_init_state.c,14,14
extr_linuxnetllcllc_c_ev.c_llc_conn_ev_rx_any_frame.c,7,7
extr_linuxnetllcllc_c_ac.c_llc_conn_disc.c,7,7
extr_linuxnetiucvaf_iucv.c_afiucv_pm_prepare.c,6,6
extr_linuxnetiucvaf_iucv.c_iucv_sock_in_state.c,21,21
extr_linuxnetkeyaf_key.c_pfkey_mode_to_xfrm.c,13,13
extr_linuxnetkeyaf_key.c_pfkey_init_proc.c,6,6
extr_linuxnetkeyaf_key.c_pfkey_proto_from_xfrm.c,11,11
extr_linuxnetllcllc_conn.c_llc_data_accept_state.c,23,23
extr_linuxnetl2tpl2tp_core.c_l2tp_seq_check_rx_window.c,21,21
extr_linuxnetkeyaf_key.c_pfkey_satype2proto.c,13,13
extr_linuxnetllcllc_s_ac.c_llc_sap_action_report_status.c,7,7
extr_linuxnetl2tpl2tp_debugfs.c_l2tp_dfs_seq_next.c,12,12
extr_linuxnetllcllc_c_ev.c_llc_conn_ev_rx_bad_pdu.c,7,7
extr_linuxnetllcaf_llc.c_llc_ui_header_len.c,15,15
extr_linuxnetllcllc_c_ac.c_llc_circular_between.c,18,18
extr_linuxnetl2tpl2tp_core.h_l2tp_get_l2specific_len.c,16,16
extr_linuxnetmac80211cfg.c_sta_apply_mesh_params.c,7,7
extr_linuxnetllcllc_c_ev.c_llc_conn_ev_init_p_f_cycle.c,7,7
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_add.c,5,5
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_remove.c,5,5
extr_linuxnetmac80211debugfs_netdev.h_ieee80211_debugfs_add_netdev.c,5,5
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_sta_del.c,6,6
extr_linuxnetmac80211debugfs_netdev.h_ieee80211_debugfs_rename_netdev.c,5,5
extr_linuxnetllcllc_sap.c_llc_mac_header_len.c,12,12
extr_linuxnetmac80211led.h_ieee80211_alloc_led_names.c,5,5
extr_linuxnetmac80211debugfs_sta.h_ieee80211_sta_debugfs_remove.c,5,5
extr_linuxnetllcllc_pdu.c_llc_pdu_get_pf_bit.c,29,29
extr_linuxnetmac80211iface.c___ieee80211_idle_off.c,13,13
extr_linuxnetmac80211led.h_ieee80211_led_assoc.c,6,6
extr_linuxnetmac80211debugfs.h_debugfs_hw_add.c,5,5
extr_linuxnetmac80211led.h_ieee80211_led_init.c,5,5
extr_linuxnetmac80211led.h_ieee80211_led_rx.c,5,5
extr_linuxnetmac80211led.h_ieee80211_mod_tpt_led_trig.c,7,7
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_add_mgmt_default.c,5,5
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_remove_mgmt_default.c,5,5
extr_linuxnetmac80211debugfs_key.h_ieee80211_debugfs_key_update_default.c,5,5
extr_linuxnetmac80211debugfs_sta.h_ieee80211_sta_debugfs_add.c,5,5
extr_linuxnetmac80211debugfs_netdev.h_ieee80211_debugfs_remove_netdev.c,5,5
extr_linuxnetmac80211ethtool.c_ieee80211_get_regs_len.c,6,6
extr_linuxnetmac80211led.h_ieee80211_free_led_names.c,5,5
extr_linuxnetmac80211mesh.c_mesh_action_is_path_sel.c,11,11
extr_linuxnetmac80211led.h_ieee80211_tpt_led_trig_tx.c,7,7
extr_linuxnetmac80211iface.c_identical_mac_addr_allowed.c,45,45
extr_linuxnetmac80211led.h_ieee80211_led_radio.c,6,6
extr_linuxnetmac80211led.h_ieee80211_tpt_led_trig_rx.c,7,7
extr_linuxnetmac80211led.h_ieee80211_led_exit.c,5,5
extr_linuxnetmac80211mesh.h_mesh_path_flush_by_iface.c,5,5
extr_linuxnetmac80211ieee80211_i.h_ieee80211_can_run_worker.c,11,11
extr_linuxnetmac80211led.h_ieee80211_led_tx.c,5,5
extr_linuxnetmac80211mesh_hwmp.c_SN_DELTA.c,14,14
extr_linuxnetmac80211rate.c_rc_send_low_basicrate.c,13,13
extr_linuxnetmac80211rate.h_rate_control_remove_sta_debugfs.c,5,5
extr_linuxnetmac80211mesh_sync.c_mesh_peer_tbtt_adjusting.c,13,13
extr_linuxnetmac80211rc80211_minstrel_ht.c_minstrel_ht_txstat_valid.c,12,12
extr_linuxnetmac80211mesh.c_mesh_peer_accepts_plinks.c,13,13
extr_linuxnetmac80211main.c_ieee80211_reset_erp_info.c,14,14
extr_linuxnetmac80211scan.c_ieee80211_scan_get_channel_time.c,16,16
extr_linuxnetmac80211vht.c_ieee80211_sta_cap_rx_bw.c,22,22
extr_linuxnetmac80211tkip.c_write_tkip_iv.c,30,30
extr_linuxnetmac80211util.c_ieee80211_add_wmm_info_ie.c,54,54
extr_linuxnetmac80211wep.c_ieee80211_wep_weak_iv.c,12,12
extr_linuxnetmac80211mesh.h_mesh_path_sel_is_hwmp.c,6,6
extr_linuxnetmac80211sta_info.h_sta_plink_state.c,6,6
