name,static_instructions_case_int-bounds_O0,dynamic_instructions_case_int-bounds_O0
extr_stbtools..stb.h_stb_skipnewline.c,14,14
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rsr_ps_Slot_inst_encode.c,7,7
extr_linuxdriversgpudrmi915vlv_dsi.c_txclkesc.c,22,22
extr_goaccesssrcparser.c_inc_resp_size.c,11,11
extr_linuxdriverspcihotplug..pci.h_devm_of_pci_get_host_bridge_resources.c,13,13
extr_linuxarchsparckernelunaligned_32.c_floating_point_load_or_store_p.c,8,8
extr_radare2librbinpbin_symbols.c_typeString.c,17,17
extr_linuxdriversstagingmediaimximx-media-utils.c_enum_format.c,36,36
extr_linuxdriversgpudrmi915selftests..intel_ringbuffer.h_inject_preempt_hang.c,6,6
extr_linuxdriversusbmiscemi26.c_emi26_disconnect.c,5,5
extr_linuxdriversmediausbdvb-usbdib0700_core.c_dib0700_i2c_func.c,6,6
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_HLSQ_CS_NDRANGE_2_GLOBALOFF_X.c,9,9
extr_labenginecodeq3_uiui_teamorders.c_UI_TeamOrdersMenu_SetList.c,32,32
extr_h2odepsmrubymrbgemsmruby-bin-debuggertoolsmrdbmrdb.c_mrdb_state_set.c,7,7
extr_linuxdriversusbhostdwc_otgdwc_otg_cil.c_dwc_otg_get_param_phy_type.c,8,8
extr_php-srcextopcacheOptimizerzend_ssa.c_pi_range.c,49,49
extr_linuxdriversgpudrmi915intel_ringbuffer.h_intel_hws_preempt_done_address.c,8,8
extr_reactosbaseapplicationscalcfun_ieee.c_rpn_pi.c,8,8
extr_linuxnetbatman-advbridge_loop_avoidance.h_batadv_bla_update_orig_address.c,7,7
extr_linuxdriversstagingcomedidriverspcmuio.c_pcmuio_asic_iobase.c,12,12
extr_kittyglfwnull_monitor.c__glfwPlatformGetVideoMode.c,6,6
extr_linuxdriversvideofbdevtmiofb.c_tmiofb_blank.c,7,7
extr_linuxdriversscsiibmvscsi_tgtibmvscsi_tgt.c_ibmvscsis_tpg_get_inst_index.c,6,6
extr_labq3map2libspicomodelpicomodel.c_PicoGetShaderShininess.c,11,11
extr_emscriptentestsotherffi.c_add_ll.c,8,8
extr_linuxdriversttyserialstm32-usart.c_stm32_config_port.c,10,10
extr_darwin-xnubsdvfsvfs_quota.c_dq_list_lock_changed.c,10,10
extr_FFmpeglibavformatudp.c_ff_udp_get_local_port.c,10,10
extr_linuxdriversnetethernetsfcfalconfilter.h_ef4_filter_set_uc_def.c,10,10
extr_gitsequencer.c_command_to_char.c,11,11
extr_linuxfsbfsbfs.h_BFS_SB.c,7,7
extr_linuxdriverstargettarget_core_pr.c_is_reservation_holder.c,31,31
extr_linuxdriverscryptoqatqat_commonadf_common_drv.h_adf_vf2pf_init.c,6,6
extr_linuxnetbluetoothl2cap_sock.c_l2cap_sock_get_sndtimeo_cb.c,10,10
extr_kphp-kdbweightsweights-data.c_subsription_insert.c,19,19
extr_linuxkernelrcurcu_segcblist.h_rcu_segcblist_n_nonlazy_cbs.c,9,9
extr_linuxdriversnetwirelessrealtekrtl8192cuos_deposdep_service.c__rtw_spinlock_free.c,5,5
extr_linuxdriversnetethernetbroadcomtg3.c_tg3_irq_sync.c,7,7
extr_linuxsoundpcirme96.c_snd_rme96_control_spdif_mask_info.c,12,12
extr_linuxdriversusbgadgetudcatmel_usba_udc.c_usba_ep_cleanup_debugfs.c,5,5
extr_linuxdriversnetwirelessrealtekrtlwifirtl8821ae..wifi.h_get_rf_type.c,7,7
extr_nodemcu-firmwareappmodulesbme280.c_bme280_compensate_H.c,65,65
extr_linuxarchx86mmtestmmiotrace.c_v32.c,7,7
extr_linuxdriversgpudrmi915intel_uc_fw.h_intel_uc_fw_is_selected.c,10,10
extr_linuxfsdlmlock.c_receive_extralen.c,8,8
extr_linuxdriversscsilibsas..scsi_priv.h_scsi_dh_release_device.c,5,5
extr_linuxsoundpcmciavxvxp_mixer.c_vx_mic_level_info.c,17,17
extr_linuxkerneltimetick-sched.h___tick_broadcast_oneshot_control.c,7,7
extr_linuxdriversatalibata-core.c_ata_cable_sata.c,6,6
extr_linuxsoundsocau1xi2sc.c_msbits_to_reg.c,13,13
extr_linuxdriversgpudrmradeonsumo_dpm.c_sumo_construct_sclk_voltage_mapping_table.c,16,16
extr_linuxdriversmediaplatforms5p-mfcs5p_mfc_opr_v5.c_s5p_mfc_release_dev_context_buffer_v5.c,5,5
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_RB_STENCILREFMASK_STENCILREF.c,9,9
extr_libgit2srcodb.c_git_odb_object_type.c,7,7
extr_japrontosrcjaprontopipelinecpipeline.h_PipelineEntry_is_task.c,6,6
extr_linuxdriversnetethernetnetronomenfpbpf..nfp_net.h_nfp_net_debugfs_vnic_add.c,6,6
extr_opensslcryptotsts_rsp_utils.c_TS_TST_INFO_get_msg_imprint.c,7,7
extr_linuxdriversusbdwc2gadget.c_dwc2_gadget_target_frame_elapsed.c,38,38
extr_linuxdriversthermaldb8500_thermal.c_db8500_sys_get_trend.c,15,15
extr_linuxdriversmediai2cmt9v032.c_mt9v032_calc_ratio.c,14,14
extr_ijkplayerijkmediaijksdlgles2renderer_rgb.c_rgb888_getBufferWidth.c,16,16
extr_radare2librasmpasm_lm32.c_is_pseudo_instr_ret.c,14,14
extr_linuxdriversmfdwm5102-tables.c_wm5102_volatile_register.c,20,20
extr_reactosdllwin32jscriptjscript.h_is_class.c,13,13
extr_linuxdriversnetwirelessrealtekrtlwifirtl8192dephy.c_rtl92d_phy_ap_calibrate.c,6,6
extr_linuxdriversmediarcimg-irimg-ir-hw.c_img_ir_timing_preprocess.c,32,32
extr_obs-studiopluginsobs-outputsrtmp-stream.c_num_buffered_packets.c,8,8
extr_linuxsoundpciac97ac97_codec.c_snd_ac97_ad18xx_pcm_info_volume.c,16,16
extr_linuxdriversnetethernetcaviumliquidiolio_main.c_liquidio_pcie_resume.c,5,5
extr_linuxfsnfsdnfs4proc.c_nfsd4_setattr_rsize.c,10,10
extr_FFmpeglibavcodecv4l2_context.c_v4l2_type_supported.c,31,31
extr_linuxvirtkvmcoalesced_mmio.h_kvm_coalesced_mmio_free.c,5,5
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_SP_VS_VPC_DST_REG_OUTLOC3.c,9,9
extr_mpvcommonav_log.c_av_log_level_to_mp_level.c,12,12
extr_linuxdriversmediapcinetup_unidvbnetup_unidvb_i2c.c_netup_i2c_func.c,7,7
extr_linuxdriversmediaplatformrockchiprgarga-hw.c_rga_get_scaling.c,15,15
extr_reactosdriversfilesystemsbtrfsbtrfs_drv.h_win_time_to_unix.c,26,26
extr_raspberry-pi-osexerciseslesson023H-4ND-Hsrcprintf.c_a2d.c,24,24
extr_php-srcsapifpmfpmfpm_trace_ptrace.c_fpm_trace_ready.c,8,8
extr_linuxsoundusbmixer_quirks.c_snd_microii_spdif_info.c,12,12
extr_obs-studiolibobsobs-hotkey.c_obs_id_.c,6,6
extr_darwin-xnubsdnetkpi_interface.c_ifmaddr_ifnet.c,11,11
extr_linuxdriversmediadvb-frontendsstv0900_core.c_stv0900_frontend_algo.c,6,6
extr_nginxsrchttpngx_http_core_module.c_ngx_http_set_disable_symlinks.c,9,9
extr_xhyvesrcps2mouse.c_ps2mouse_fifocnt.c,7,7
extr_kphp-kdbKPHPphp-engine.c_memcache_client_check_ready.c,30,30
extr_linuxdriversmediadvb-frontendsstv0367.c_stv0367cab_fsm_signaltype.c,15,15
extr_linuxdriversgpudrmmsmdispmdp5mdp5_encoder.c_bs_fini.c,5,5
extr_linuxdriversvideofbdevviahw.c_get_lcd_devices.c,13,13
extr_FFmpeglibavformattls_schannel.c_init_sec_buffer.c,17,17
extr_reactossdklib3rdpartystlportsrcc_locale_win32c_locale_win32.c__Locale_get_collate_hint.c,11,11
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_REG_A4XX_SP_VS_OUT.c,8,8
extr_reactossdktoolshhpcompchmclist.h_list_empty.c,11,11
extr_obs-studiodepsw32-pthreadsptw32_OLL_lock.c_ptw32_oll_DirectTicket.c,8,8
extr_linuxdriversvideofbdevsissis_accel.c_sisfb_initaccel.c,6,6
extr_linuxdriversatalibata-scsi.c_ata_scsi_flush_xlat.c,29,29
extr_linuxdriversgpudrmmsmdispmdp5mdp5.xml.h_MDP5_HW_VERSION_STEP.c,9,9
extr_php-srcextxmlrpclibxmlrpcxmlrpc.c_XMLRPC_GetVectorType.c,16,16
extr_linuxdriversmddm-bio-prison-v2.c_cmp_keys.c,34,34
extr_reactossdklibrtlres.c_page_fault.c,14,14
extr_linuxkernelschedsched.h_set_task_rq.c,6,6
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_wlan_util.c_wifirate2_ratetbl_inx.c,20,20
extr_linuxdriversiioaccelst_accel.h_st_accel_allocate_ring.c,6,6
extr_linuxdrivershwtracingcoresightcoresight-tmc.h_tmc_etr_has_cap.c,15,15
extr_linuxkernellivepatch..schedsched.h_set_task_rq.c,6,6
extr_linuxdriversgpudrmamdpowerplaysmumgriceland_smumgr.c_iceland_get_dependency_volt_by_clk.c,36,36
extr_reactosdllwin32hhctrl.ocxcontent.c_insert_item.c,22,22
extr_openssltesttls13secretstest.c_RECORD_LAYER_reset_read_sequence.c,5,5
extr_linuxdriversgpudrmtegrafb.c_tegra_drm_fb_init.c,6,6
extr_linuxdriversmfdtc6393xb.c_tc6393xb_irq_ack.c,5,5
extr_linuxdriversmmchostsdhci-esdhc-imx.c_esdhc_is_usdhc.c,15,15
extr_linuxdriversgpudrmmsmdsidsi.xml.h_DSI_ACTIVE_V_END.c,9,9
extr_linuxdriversnetethernetbroadcombnxtbnxt.c_bnxt_get_roce_vnic_mode.c,13,13
extr_darwin-xnuosfmkarmpmap.c_pmap_collect.c,9,9
extr_linuxdriversscsiqla4xxxql4_init.c_qla4xxx_init_local_data.c,8,8
extr_linuxdriversgpudrmi915i915_request.h_i915_seqno_passed.c,12,12
extr_FFmpeglibavformatdashdec.c_aligned.c,9,9
extr_linuxfsxfslibxfsxfs_alloc.c_xfs_alloc_longest_free_extent.c,49,49
extr_linuxdriversvideofbdevefifb.c_efifb_show_boot_graphics.c,5,5
extr_linuxdriversinfinibandcoresa_query.c_ib_sa_query_cancelled.c,8,8
extr_obs-studiodepslzmaliblzmalzmalzma_encoder_optimum_normal.c_make_literal.c,10,10
extr_FFmpeglibavcodecshorten.c_fix_bitshift.c,19,19
extr_linuxarchpowerpcperfpower7-pmu.c_power7_get_constraint.c,39,39
extr_radare2librcoreblaze.c_initBB.c,39,39
extr_linuxkernelscheddeadline.c_dequeue_pushable_dl_task.c,6,6
extr_linuxarchsparckernelpci_schizo.c_pbm_routes_this_ino.c,21,21
extr_kittyglfwnull_window.c__glfwPlatformWindowFocused.c,6,6
extr_linuxsoundsocatmelatmel-pcm.h_atmel_pcm_dma_platform_register.c,6,6
extr_linuxnetnetfilternf_conntrack_timestamp.c_nf_conntrack_tstamp_init_sysctl.c,6,6
extr_linuxdriversdmafsldma.c_fsl_chan_toggle_ext_pause.c,13,13
extr_linuxdriversstagingrtl8188eucorertw_security.c_secmicclear.c,17,17
extr_darwin-xnubsdkernuipc_socket2.c_pru_shutdown_notsupp.c,6,6
extr_linuxarchalphabootbootpz.c___kmalloc.c,7,7
extr_linuxtoolsperfutilintel-pt-decoder..dso.h_dso__is_vmlinux.c,19,19
extr_xhyvesrcvmmintelvmx.c_vmx_run_trace.c,6,6
extr_linuxdriversgpudrmmsmdispmdp5mdp5.xml.h_MDP5_WB_CSC_MATRIX_COEFF_4_COEFF_33.c,9,9
extr_linuxdriversusbdwc2core.h_dwc2_hcd_get_future_frame_number.c,7,7
extr_darwin-xnuosfmkkerncoalition.c_coalition_term_requested.c,7,7
extr_linuxdriversgpudrmradeonradeon_legacy_encoders.c_radeon_legacy_backlight_init.c,5,5
extr_linuxdriverspinctrlqcompinctrl-spmi-gpio.c_pmic_gpio_get_groups_count.c,8,8
extr_linuxnetcangw.c_calc_idx.c,11,11
extr_linuxarchalphakernelerr_marvel.c_marvel_print_680_frame.c,5,5
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_normal.c,7,7
extr_linuxdriversmfdwm8994-core.c_wm8994_ldo_in_use.c,7,7
extr_linuxdriversgpudrmradeonradeon.h_radeon_mn_unregister.c,5,5
extr_linuxdriversbluetoothhci_vhci.c_vhci_open_dev.c,6,6
extr_labq3map2libsl_netl_net.c_NMSG_Clear.c,7,7
extr_linuxfsnfsdnfs3acl.c_nfsd3_proc_null.c,6,6
extr_kittyglfwnull_window.c__glfwPlatformWindowMaximized.c,6,6
extr_linuxsoundsoccodecsmax9867.c_max9867_volatile_register.c,12,12
extr_linuxdriversgpudrmomapdrmdssdss.h_dpi_init_port.c,9,9
extr_linuxdriversxen..pcipci.h_pci_restore_iov_state.c,5,5
extr_linuxdriversstagingwilc1000wilc_wlan_cfg.c_wilc_wlan_cfg_set_hword.c,15,15
extr_linuxarchumdriverspcap_kern.c_pcap_write.c,9,9
extr_h2odepsmrubysrcgc.c_prepare_incremental_sweep.c,17,17
extr_linuxnetbatman-advdebugfs.h_batadv_debugfs_rename_meshif.c,5,5
extr_linuxdriversnvmetargetfcloop.c_fcloop_create_queue.c,12,12
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_SP_FS_MRT_REG_MRTFORMAT.c,9,9
extr_linuxfsext4extents.c_ext4_ext_space_block_idx.c,13,13
extr_reactossdklib3rdpartystlportsrcc_locale_dummyc_locale_dummy.c__Locale_false.c,6,6
extr_linuxdriversusbmusbsunxi.c_sunxi_musb_dma_controller_destroy.c,5,5
extr_linuxarchx86math-emufpu_system.h_seg_get_limit.c,10,10
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_SP_VS_OUT_REG_A_REGID.c,9,9
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_GRAS_SC_SCREEN_SCISSOR_BR_Y.c,9,9
extr_linuxdriversgpudrmamddisplaydccoredc_link_dp.c_reached_minimum_link_rate.c,10,10
extr_FFmpeglibavcodecatrac3plus.c_gainc_level_mode3s.c,11,11
extr_linuxdriversscsiqediqedi_main.c_qedi_tgt_get_attr_visibility.c,12,12
extr_kittykittyscreen.c_screen_decsace.c,13,13
extr_linuxdriversgpudrmmediatekmtk_hdmi.c_hdmi_mode_clock_to_hz.c,25,25
extr_linuxdriverscryptochelsiochcr_algo.c_AEAD_CTX.c,8,8
extr_labenginecodebspccsg.c_BrushGE.c,20,20
extr_linuxdrivershidhid-multitouch.c_cypress_compute_slot.c,16,16
extr_linuxdriversmiscsgi-grugru_instructions.h_gru_get_cb_pointer.c,13,13
extr_linuxtoolsperfutilscripting-engines..machine.h_machine__kernel_maps.c,6,6
extr_linuxdriversnetwirelessbroadcomb43phy_lp.c_channel2freq_lp.c,16,16
extr_ccvlibnnccmdsgdccv_nnc_sgd.c__ccv_nnc_sgd_allow_inplace.c,15,15
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_REG_A5XX_SP_VS_VPC_DST.c,8,8
extr_linuxdriversgpudrmamdamdgpugmc_v6_0.c_gmc_v6_0_set_clockgating_state.c,7,7
extr_linuxdriversscsiqla4xxxql4_def.h_is_ipv6_enabled.c,12,12
extr_darwin-xnubsdvfskpi_vfs.c_vnode_isblk.c,12,12
extr_linuxfsreiserfsreiserfs.h_sb_from_tb.c,12,12
extr_linuxdrivershidhid-roccat-isku.c_isku_profile_activated.c,9,9
extr_skynetservice-srcservice_gate.c__parm.c,20,20
extr_linuxblockblk-mq-cpumap.c_cpu_to_queue_index.c,10,10
extr_linuxdriverss390blockdasd_eckd.c_set_ch_t.c,22,22
extr_linuxsecurityapparmoripc.c_map_signal_num.c,12,12
extr_linuxdriversvideobacklightaat2870_bl.c_aat2870_brightness.c,22,22
extr_linuxarchx86xenapic.c_xen_id_always_valid.c,6,6
extr_linuxdriverscryptoccpccp-crypto-aes-galois.c_ccp_aes_gcm_complete.c,7,7
extr_linuxdriversgpuhost1xhwhw_host1x05_uclass.h_host1x_uclass_indoff_autoinc_f.c,8,8
extr_linuxnetnetfilternf_conntrack_proto_icmp.c_icmp_kmemdup_sysctl_table.c,7,7
extr_darknetsrcactivations.h_ramp_activate.c,21,21
extr_darwin-xnubsdnetkpi_interface.c_ifnet_baudrate.c,11,11
extr_mpvstreamtvi_dummy.c_get_video_framesize.c,13,13
extr_linuxdriversnetwirelessbroadcombrcm80211brcmsmacphyphy_cmn.c_wlc_phy_freqtrack_end.c,5,5
extr_linuxdriversstagingks7010ks_hostif.c_hostif_status_init.c,12,12
extr_linuxdriversnetethernetmellanoxmlx5corefpgaipsec.c_egress_to_fs_ft.c,11,11
extr_linuxsoundsocfslfsl_esai.c_fsl_esai_volatile_reg.c,12,12
extr_linuxdriversinfinibandhwhfi1sdma.h_sdma_build_ahg_descriptor.c,35,35
extr_linuxdriversgpudrmmsmdispmdp5mdp5_ctl.c_mdp_ctl_flush_mask_encoder.c,16,16
extr_kphp-kdbsearchsearch-y-index.c_init_search_data.c,8,8
extr_linuxdriversblockrsxxcore.c_rsxx_pci_suspend.c,8,8
extr_nginxsrchttpmodulesperlngx_http_perl_module.c_ngx_http_perl_preconfiguration.c,6,6
extr_linuxdriversusbgadgetudcrenesas_usb3.c_usb3_dma_mps_to_prd_word1.c,34,34
extr_linuxdriversnetethernetqlogicqedqed_iscsi.h_qed_get_protocol_stats_iscsi.c,6,6
extr_linuxdriverspcipcie..pci.h_pci_dev_specific_reset.c,8,8
extr_linuxdriversnetethernetsfcsiena.c_siena_mem_map_size.c,9,9
extr_reactosbootfreeldrfreeldrlibinifileparse.c_IniIsCommentLine.c,30,30
extr_linuxsoundisagusgus_mixer.c_snd_ics_info_double.c,16,16
extr_FFmpeglibavcodecdvdsubenc.c_copy_rectangle.c,37,37
extr_linuxdrivershwmonpc87360.c_PWM_TO_REG.c,18,18
extr_timescaledbsrcnethttp_response.c_http_parse_almost_done.c,13,13
extr_radare2libranalpanal_arm_gnu.c_archinfo.c,17,17
extr_linuxipcutil.h_msg_exit_ns.c,5,5
extr_linuxdriversnetethernetintelfm10kfm10k_vf.c_fm10k_msg_lport_state_vf.c,17,17
extr_linuxdriversnetethernetciscoenicenic.h_enic_cq_wq.c,9,9
extr_linuxdriversttyn_gsm.c_gsm_error.c,16,16
extr_linuxdriversscsiqla4xxxql4_def.h_is_qla8022.c,12,12
extr_linuxdriversblockmtip32xxmtip32xx.c_mtip_device_unaligned_constrained.c,13,13
extr_labenginecodetoolslccsrcsym.c_allsymbols.c,7,7
extr_linuxdriversscsiqlogicpti.c_qlogicpti_set_hostdev_defaults.c,35,35
extr_linuxdriverspcihotplugacpiphp_glue.c_acpiphp_get_power_status.c,8,8
extr_linuxnetschedsch_netem.c_netem_find.c,7,7
extr_linuxfsbtrfsioctl.c_btrfs_inode_flags_to_fsflags.c,44,44
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b......wifi.h_is_hal_stop.c,11,11
extr_curldocsexamplesexternalsocket.c_sockopt_callback.c,8,8
extr_darwin-xnubsdnetinettcp_cache.c_tcp_min_to_hz.c,11,11
extr_linuxdriversgpudrmi915intel_cdclk.c_fixed_133mhz_get_cdclk.c,8,8
extr_h2osrcmain.c_on_config_listen_enter.c,8,8
extr_gitcompat..hashmap.h_hashmap_disable_item_counting.c,7,7
extr_linuxdriversgpudrmradeonradeon_connectors.c_radeon_tv_mode_valid.c,15,15
extr_linuxdriversnetwirelessbroadcomb43legacymain.c_b43legacy_rng_init.c,7,7
extr_linuxdriversvideobacklightili922x.c_ili922x_reg_dump.c,5,5
extr_linuxblockbfq-wf2q.c_bfq_bfqq_to_bfqg.c,8,8
extr_linuxdriversps3ps3-lpm.c_pm_translate_signal_group_number_on_island3.c,18,18
extr_tenginesrchttpngx_http_header_filter_module.c_ngx_http_header_filter_init.c,8,8
extr_linuxtoolsvirtiovringh_test.c_no_notify_host.c,6,6
extr_opensslcryptobiobss_sock.c_BIO_sock_non_fatal_error.c,7,7
extr_kphp-kdbbinlogcheck-binlog.c_file_is_last.c,7,7
extr_reactosdlldirectxwinewined3darb_program_shader.c_arbfp_free_context_data.c,5,5
extr_linuxfsproc..mount.h_mnt_has_parent.c,11,11
extr_linuxdriversmediai2cimx258.c_imx258_enum_mbus_code.c,15,15
extr_reactosmodulesrosappsapplicationsexplorer-oldi386-stub-win32.c_computeSignal.c,11,11
extr_linuxdriversstagingcomedidrivers..comedidev.h_comedi_sample_shift.c,12,12
extr_linuxdriversiommuiova.c___adjust_overlap_range.c,17,17
extr_linuxdriversnetethernetbroadcomcnic.c_cnic_uio_close.c,12,12
extr_darwin-xnuosfmkkperflazy.c_kperf_lazy_set_wait_time_threshold.c,8,8
extr_linuxdriversnetethernetmellanoxmlx5coreen_accelipsec.h_mlx5e_ipsec_get_strings.c,7,7
extr_mpvdemuxdemux_mf.c_demux_close_mf.c,5,5
extr_linuxsounddriversportman2x4.c_snd_portman_midi_open.c,6,6
extr_linuxtoolsperfutilintel-pt-decoder..data.h_perf_data__is_pipe.c,7,7
extr_nodemcu-firmwareappsjsonjsonsl.c_jsonsl__digit2int.c,21,21
extr_linuxsoundpciaw2aw2-alsa.c_snd_aw2_pcm_capture_close.c,6,6
extr_linuxdriversnetethernetalacritechslicoss.c_slic_next_queue_idx.c,11,11
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_SP_VS_OUT_REG_A_REGID.c,9,9
extr_linuxdriversnetwirelessathath10kthermal.h_ath10k_thermal_set_throttling.c,5,5
extr_linuxdriversgpudrmi915intel_dpll_mgr.c_icl_mg_pll_id_to_port.c,8,8
extr_linuxdriversgpudrmmsmdispmdp4mdp4.xml.h_MDP4_LCDC_LVDS_MUX_CTL_6_TO_4_BIT6.c,9,9
extr_linuxdriversnetwirelessathath9kath9k.h_ath9k_suspend.c,7,7
extr_linuxdriversclkclk.h___clk_free_clk.c,5,5
extr_linuxdriversgpudrmi915i915_gem_gtt.h_gen8_pml4e_index.c,9,9
extr_linuxdriversvideofbdevcorefbcon_cw.c_cw_update_attr.c,30,30
extr_linuxdriversmischpilo.c_desc_mem_sz.c,8,8
extr_libuvtesttest-connection-fail.c_timer_close_cb.c,8,8
extr_reactosmodulesrostestskmtestsntos_exExSingleList.c_QueryDepthList.c,10,10
extr_linuxdriversnetethernetbroadcombcm63xx_enet.c_bcm_enet_get_sset_count.c,13,13
extr_linuxdriversssbssb_private.h_ssb_extif_watchdog_timer_set_wdt.c,7,7
extr_linuxfsgfs2glock.h_gfs2_glock_is_held_shrd.c,11,11
extr_linuxfscephsuper.h_ceph_init_inode_acls.c,6,6
extr_linuxtoolsperfutilintel-pt-decoder..data.h_perf_data__fd.c,7,7
extr_linuxdriverss390netqeth_l2_main.c_qeth_l2_vnicc_set_defaults.c,23,23
extr_reactosdlldirectxd3d9format.c_GetBytesPerPixel.c,13,13
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_sequence.c,9,9
extr_linuxdriversmiscibmasmheartbeat.c_panic_happened.c,9,9
extr_FFmpeglibavfilteravfilter.c_ff_outlink_get_status.c,7,7
extr_linuxdriverscharmem.c_page_is_allowed.c,6,6
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_A4XX_CP_DRAW_INDIRECT_1_INDIRECT.c,9,9
extr_obs-studiodepslzmaliblzmacheck....commontuklib_integer.h_write16ne.c,9,9
extr_libuvsrcunixsunos.c_uv_fs_event_stop.c,6,6
extr_linuxdriversscsimpt3sasmpt3sas_scsih.c__scsih_is_end_device.c,11,11
extr_darwin-xnubsdvfskpi_vfs.c_vnode_vfsisrdonly.c,13,13
extr_linuxfsnfsdnfsd.h_nfsd_v4client.c,14,14
extr_labenginecodeq3_uiui_removebots.c_UI_RemoveBotsMenu_BotEvent.c,10,10
extr_linuxsampleskprobeskprobe_example.c_handler_pre.c,7,7
extr_darwin-xnuosfmki386commpagecommpage.c_commpage_set_spin_count.c,15,15
extr_linuxdriversnetethernetmellanoxmlx5coreen_rx.c_mlx5e_rx_hw_stamp.c,11,11
extr_linuxnetipv6ip6_fib.c_fib6_get_table.c,8,8
extr_linuxdriversfirewirecore-cdev.c_is_fcp_request.c,9,9
extr_raspberry-pi-osexerciseslesson032H-4ND-Hsrcprintf.c_a2d.c,24,24
extr_linuxarcharm64kernelfpsimd.c_vq_to_bit.c,7,7
extr_linuxmmslab_common.c_flush_memcg_workqueue.c,5,5
extr_emscriptensystemlibcompiler-rtlibbuiltinsfp_lib.h_wideRightShiftWithSticky.c,26,26
extr_mongooseexamplesnRF51httprttSyscallsRTT_Syscalls_KEIL.c__sys_command_string.c,7,7
extr_linuxdriversnetwirelessathath9keeprom_def.c_ath9k_hw_def_dump_eeprom.c,10,10
extr_linuxblockblk-mq-debugfs.h_blk_mq_debugfs_unregister_hctxs.c,5,5
extr_linuxdriversdmastm32-dma.c_stm32_dma_set_fifo_config.c,23,23
extr_linuxdriversnetwirelessathath10kmac.c_ath10k_mac_get_vht_cap_bf_sts.c,20,20
extr_linuxsoundpcirme9652hdsp.c_hdsp_input_to_output_key.c,22,22
extr_darwin-xnubsdnetnetsrc.c_netsrc_ctlconnect.c,8,8
extr_linuxarchpowerpcplatforms4xxhsta_msi.c_hsta_find_hwirq_offset.c,13,13
extr_linuxdriversnetwirelesszydaszd1211rwzd_mac.h_zd_hw_mac.c,7,7
extr_linuxarchs390mmpgtable.c_pgste_set.c,6,6
extr_opensslcryptoenginetb_pkmeth.c_ENGINE_set_pkey_meths.c,10,10
extr_linuxmmpage_alloc.c_can_steal_fallback.c,12,12
extr_linuxnetdsaswitch.c_dsa_switch_fastest_ageing_time.c,12,12
extr_obs-studiolibobsobs-properties.c_obs_properties_get_flags.c,12,12
extr_darwin-xnuosfmkconsolevideo_console.c_gc_is_tab_stop.c,16,16
extr_linuxfsoverlayfssuper.c_ovl_force_readonly.c,18,18
extr_linuxdriverspcipcie..pci.h_pci_proc_detach_bus.c,6,6
extr_darwin-xnubsdpthreadpthread_shims.c_proc_set_return_to_kernel_offset.c,9,9
extr_linuxtoolstestingselftestsx86vdso_restorer.c_handler_without_siginfo.c,6,6
extr_linuxdriversstagingrtl8188euhalrtl8188eu_xmit.c_urb_zero_packet_chk.c,17,17
extr_redissrcrax.c_raxSetDebugMsg.c,7,7
extr_linuxdriversacpiapeieinj.c_einj_check_table.c,18,18
extr_linuxnetnetfilteripvsip_vs_xmit.c___tun_gso_type_mask.c,16,16
extr_stbtools..stb.h_stb_sdict_internal_limit.c,7,7
extr_linuxdriversgpudrmvirtiovirtgpu_fence.c_virtio_get_driver_name.c,6,6
extr_linuxdriversinfinibandhwusnicusnic_ib_verbs.c_usnic_ib_port_link_layer.c,7,7
extr_linuxdriversgpudrmi915intel_cdclk.c_bdw_calc_voltage_level.c,26,26
extr_linuxfsreiserfsitem_ops.c_direct_part_size.c,8,8
extr_darwin-xnubsdnetkpi_interface.c_ifnet_get_wake_flags.c,16,16
extr_linuxdriverssfisfi_acpi.c_acpi_to_sfi_th.c,6,6
extr_reactosdllwin32imaadp32.acmimaadp32.c_clamp_sample.c,11,11
extr_linuxdriversnetwirelessathath10kpci.c_ath10k_pci_hif_suspend.c,6,6
extr_linuxarchmipsar7clock.c_clk_disable.c,5,5
extr_linuxarchpowerpcplatformsmaplepci.c_u3_ht_cfa0.c,10,10
extr_netdatacollectorsstatsd.pluginstatsd.c_statsd_algorithm_for_metric.c,30,30
extr_linuxdriversfsifsi-core.c_fsi_slave_release_range.c,7,7
